id,x,y,z,color,cluster,from,seq_cluster_size,from_order,length,plddt
AF-A0A5C6XGJ1-F1-model_v4.domain0.pdb,3791.618408203125,3574.859130859375,1.0,#a80c44,cluster_1,AFDB,1,1,89.0,95.89797752808988
AF-A0A5C7ETW1-F1-model_v4.domain0.pdb,4742.82666015625,4630.21826171875,1.0,#fef2a9,cluster_22,AFDB,1,1,86.0,86.23209302325581
AF-A0A5C7FTI7-F1-model_v4.domain0.pdb,4175.20751953125,3432.39697265625,1.0,#a80c44,cluster_1,AFDB,1,1,97.0,95.0716494845361
AF-A0A5C7JDS6-F1-model_v4.domain0.pdb,5061.533203125,3946.587158203125,1.0,#9e0142,cluster_0,AFDB,4,1,268.0,84.13511194029851
AF-A0A5C7JGT3-F1-model_v4.domain0.pdb,5214.4130859375,4232.1142578125,1.0,#808080,Unclustered,AFDB,1,1,89.0,93.2514606741573
AF-A0A5C7JQK5-F1-model_v4.domain2.pdb,3681.45849609375,4325.52392578125,1.0,#f47245,cluster_10,AFDB,4,1,78.0,90.49435897435899
AF-A0A5C7LCP7-F1-model_v4.domain0.pdb,4748.5546875,3576.442138671875,1.0,#9e0142,cluster_0,AFDB,1,1,157.0,88.2412101910828
AF-A0A5C7LCP7-F1-model_v4.domain1.pdb,4502.51171875,3093.501708984375,1.0,#808080,Unclustered,AFDB,1,1,59.0,81.42203389830509
AF-A0A5C7LIY9-F1-model_v4.domain0.pdb,3712.046630859375,4665.0185546875,1.0,#f88e52,cluster_12,AFDB,1,1,125.0,87.38776
AF-A0A6A8FJ81-F1-model_v4.domain1.pdb,3425.2509765625,3570.06591796875,1.0,#cb334c,cluster_4,AFDB,1,1,101.0,91.23584158415841
AF-A0A6A8MXK2-F1-model_v4.domain3.pdb,3649.431640625,4202.7158203125,1.0,#cb334c,cluster_4,AFDB,1,1,105.0,81.74990476190476
AF-A0A6A9SIB5-F1-model_v4.domain0.pdb,3461.54345703125,3494.0908203125,1.0,#808080,Unclustered,AFDB,1,1,98.0,92.60908163265307
AF-A0A6B0B8Y3-F1-model_v4.domain0.pdb,3844.907958984375,5052.66259765625,1.0,#f88e52,cluster_12,AFDB,1,1,122.0,89.43368852459018
AF-A0A6B0YK23-F1-model_v4.domain5.pdb,3618.1064453125,3777.037841796875,1.0,#cb334c,cluster_4,AFDB,2,1,106.0,80.98877358490566
AF-A0A6B1CS33-F1-model_v4.domain5.pdb,3599.76611328125,4064.829345703125,1.0,#cb334c,cluster_4,AFDB,1,1,106.0,80.00264150943397
AF-A0A6B1CXC0-F1-model_v4.domain0.pdb,3271.21240234375,3493.661376953125,1.0,#cb334c,cluster_4,AFDB,2,1,92.0,94.21728260869563
AF-A0A6B1F781-F1-model_v4.domain0.pdb,4244.68603515625,3582.54052734375,1.0,#a80c44,cluster_1,AFDB,1,1,106.0,96.36396226415094
AF-A0A6B1GCG6-F1-model_v4.domain0.pdb,4183.2177734375,3339.6572265625,1.0,#a80c44,cluster_1,AFDB,1,1,223.0,87.12762331838564
AF-A0A6B2IIX1-F1-model_v4.domain0.pdb,4362.93408203125,3054.95654296875,1.0,#dc494b,cluster_6,AFDB,4,1,108.0,91.95351851851854
AF-A0A6B2L476-F1-model_v4.domain0.pdb,3427.60986328125,3373.57177734375,1.0,#cb334c,cluster_4,AFDB,1,1,89.0,87.76280898876405
AF-A0A6B2M327-F1-model_v4.domain0.pdb,4098.6474609375,3491.140380859375,1.0,#a80c44,cluster_1,AFDB,1,1,97.0,85.28958762886599
AF-A0A6B3I5L1-F1-model_v4.domain0.pdb,3043.0234375,4040.0390625,1.0,#cb334c,cluster_4,AFDB,5,1,98.0,72.87561224489795
AF-A0A6B3MD55-F1-model_v4.domain0.pdb,3298.75634765625,4743.07470703125,1.0,#808080,Unclustered,AFDB,1,1,68.0,78.74794117647059
AF-A0A6B9HS88-F1-model_v4.domain0.pdb,3677.02587890625,4646.9736328125,1.0,#f88e52,cluster_12,AFDB,1,1,172.0,84.80627906976744
AF-A0A6B9TIJ2-F1-model_v4.domain0.pdb,4342.65625,4444.8154296875,1.0,#9e0142,cluster_0,AFDB,1,1,108.0,81.13898148148148
AF-A0A6B9TIJ2-F1-model_v4.domain1.pdb,3502.27490234375,3167.646240234375,1.0,#808080,Unclustered,AFDB,1,1,54.0,81.00611111111112
AF-A0A6B9VCJ3-F1-model_v4.domain1.pdb,3531.012451171875,3433.742919921875,1.0,#cb334c,cluster_4,AFDB,2,1,116.0,84.18318965517241
AF-A0A6C0CGQ0-F1-model_v4.domain2.pdb,4625.32177734375,5053.4873046875,1.0,#e3f498,cluster_29,AFDB,1,1,81.0,92.09765432098766
AF-A0A6C0JWN2-F1-model_v4.domain0.pdb,5078.67626953125,4071.1494140625,1.0,#9e0142,cluster_0,AFDB,1,1,296.0,77.30148648648648
AF-A0A6C0LV01-F1-model_v4.domain1.pdb,3437.36767578125,3408.078125,1.0,#cb334c,cluster_4,AFDB,1,1,95.0,90.30852631578949
AF-A0A6C0PCY7-F1-model_v4.domain0.pdb,3666.9072265625,4108.34521484375,1.0,#cb334c,cluster_4,AFDB,1,1,112.0,90.46491071428571
AF-A0A6C0U4P2-F1-model_v4.domain0.pdb,4703.1298828125,3624.415771484375,1.0,#9e0142,cluster_0,AFDB,1,1,199.0,93.98728643216081
AF-A0A6C1P3F4-F1-model_v4.domain1.pdb,4148.66650390625,3106.113525390625,1.0,#f06744,cluster_9,AFDB,1,1,140.0,83.45157142857144
AF-A0A6C1SV43-F1-model_v4.domain0.pdb,3444.39111328125,4545.1064453125,1.0,#fdd481,cluster_18,AFDB,1,1,113.0,88.69743362831858
AF-A0A6C2C2P6-F1-model_v4.domain0.pdb,5037.01806640625,4633.359375,1.0,#86cea4,cluster_36,AFDB,3,1,113.0,92.41176991150444
AF-A0A6C2CBJ7-F1-model_v4.domain0.pdb,3928.029052734375,3362.3984375,1.0,#a80c44,cluster_1,AFDB,1,1,99.0,92.65080808080809
AF-A0A6C2U2J2-F1-model_v4.domain0.pdb,3821.52734375,4915.86181640625,1.0,#808080,Unclustered,AFDB,1,1,113.0,66.38469026548673
AF-A0A6D2JT43-F1-model_v4.domain0.pdb,3560.25390625,3488.5009765625,1.0,#cb334c,cluster_4,AFDB,1,1,118.0,72.13457627118645
AF-A0A6F8PR81-F1-model_v4.domain0.pdb,4535.97998046875,5119.15576171875,1.0,#808080,Unclustered,AFDB,1,1,307.0,90.55671009771987
AF-A0A6F8PW06-F1-model_v4.domain0.pdb,4312.2548828125,3689.560791015625,1.0,#a80c44,cluster_1,AFDB,1,1,111.0,96.18765765765764
AF-A0A6F8VD75-F1-model_v4.domain0.pdb,3951.791015625,3838.0693359375,1.0,#eef8a5,cluster_27,AFDB,1,1,97.0,86.1365979381443
AF-A0A6F8YKN1-F1-model_v4.domain0.pdb,3424.328125,4934.21923828125,1.0,#78c9a4,cluster_37,AFDB,1,1,95.0,79.45547368421052
AF-A0A6F8ZII6-F1-model_v4.domain0.pdb,4605.6826171875,3460.48828125,1.0,#9e0142,cluster_0,AFDB,1,1,209.0,87.70033492822968
AF-A0A6G0SVX1-F1-model_v4.domain5.pdb,4075.939697265625,4523.10107421875,1.0,#808080,Unclustered,AFDB,2,1,77.0,49.01389610389611
AF-A0A6G0SW60-F1-model_v4.domain1.pdb,4056.59326171875,4508.09033203125,1.0,#808080,Unclustered,AFDB,1,1,91.0,50.28868131868132
AF-A0A6G0SWN1-F1-model_v4.domain2.pdb,4452.810546875,5147.31787109375,1.0,#808080,Unclustered,AFDB,1,1,147.0,80.55639455782314
AF-A0A6G0T077-F1-model_v4.domain1.pdb,4087.135009765625,4511.97607421875,1.0,#fdc877,cluster_17,AFDB,6,1,74.0,83.98027027027027
AF-A0A6G0U005-F1-model_v4.domain0.pdb,4079.461669921875,4486.29150390625,1.0,#fdc877,cluster_17,AFDB,1,1,147.0,59.99537414965986
AF-A0A6G0U389-F1-model_v4.domain0.pdb,4071.807861328125,4494.2021484375,1.0,#fdc877,cluster_17,AFDB,1,1,149.0,57.304899328859065
AF-A0A6G0W0H3-F1-model_v4.domain1.pdb,4071.660400390625,4512.4697265625,1.0,#fdc877,cluster_17,AFDB,2,1,63.0,76.58698412698412
AF-A0A6G0WN86-F1-model_v4.domain0.pdb,4095.282470703125,4499.10791015625,1.0,#fdc877,cluster_17,AFDB,8,1,80.0,78.54825000000001
AF-A0A6G0XYZ2-F1-model_v4.domain3.pdb,3477.013916015625,3481.90185546875,1.0,#cb334c,cluster_4,AFDB,1,1,100.0,68.2091
AF-A0A6G0YC75-F1-model_v4.domain0.pdb,4097.2744140625,4516.77392578125,1.0,#fdc877,cluster_17,AFDB,1,1,78.0,57.040256410256404
AF-A0A6G0YF09-F1-model_v4.domain0.pdb,4076.9990234375,4521.95703125,1.0,#fdc877,cluster_17,AFDB,1,1,119.0,43.934873949579824
AF-A0A6G1DZM4-F1-model_v4.domain1.pdb,3545.4150390625,3526.772705078125,1.0,#cb334c,cluster_4,AFDB,1,1,106.0,90.5832075471698
AF-A0A6G1QT26-F1-model_v4.domain2.pdb,3383.63525390625,3475.928466796875,1.0,#cb334c,cluster_4,AFDB,1,1,114.0,86.17368421052633
AF-A0A6G1SG86-F1-model_v4.domain1.pdb,3410.39990234375,3365.899169921875,1.0,#cb334c,cluster_4,AFDB,2,1,109.0,88.21486238532108
AF-A0A6G3M468-F1-model_v4.domain0.pdb,4005.66259765625,5068.1162109375,1.0,#b0dfa2,cluster_33,AFDB,1,1,76.0,93.54789473684211
AF-A0A6G3PLM8-F1-model_v4.domain1.pdb,3351.62841796875,3811.0849609375,1.0,#cb334c,cluster_4,AFDB,1,1,104.0,93.68624999999999
AF-A0A6G3YW62-F1-model_v4.domain0.pdb,3344.451904296875,4465.15869140625,1.0,#fdd481,cluster_18,AFDB,1,1,86.0,91.62697674418605
AF-A0A6G3Z0U4-F1-model_v4.domain2.pdb,4177.4716796875,4355.77734375,1.0,#808080,Unclustered,AFDB,1,1,88.0,73.13727272727273
AF-A0A6G4RAA3-F1-model_v4.domain0.pdb,4233.21826171875,5200.3310546875,1.0,#b0dfa2,cluster_33,AFDB,1,1,92.0,40.64032608695651
AF-A0A6G4WJ70-F1-model_v4.domain1.pdb,4261.6806640625,5256.9013671875,1.0,#808080,Unclustered,AFDB,1,1,86.0,82.56837209302326
AF-E2NR77-F1-model_v4.domain0.pdb,3578.044921875,4785.17431640625,1.0,#f88e52,cluster_12,AFDB,1,1,106.0,93.33056603773586
AF-E3CWA7-F1-model_v4.domain1.pdb,3166.112548828125,4138.6064453125,1.0,#cb334c,cluster_4,AFDB,2,1,105.0,81.36809523809524
AF-E3EK96-F1-model_v4.domain5.pdb,3603.266845703125,4014.56982421875,1.0,#cb334c,cluster_4,AFDB,1,1,129.0,71.29945736434108
AF-E3FKN7-F1-model_v4.domain0.pdb,4176.03515625,5083.02880859375,1.0,#b0dfa2,cluster_33,AFDB,1,1,141.0,78.92624113475178
AF-E3FUK0-F1-model_v4.domain1.pdb,4291.69677734375,5172.5078125,1.0,#b0dfa2,cluster_33,AFDB,1,1,94.0,74.80659574468083
MGYP001573817442.domain0.pdb,4454.30517578125,4778.8779296875,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP000814324570.domain2.pdb,3764.804931640625,3946.807373046875,1.0,#cb334c,cluster_4,ESMAtlas,1,2,,
MGYP000814531842.domain0.pdb,4932.6376953125,4075.659423828125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP000816732805.domain6.pdb,3581.581298828125,4061.740478515625,1.0,#cb334c,cluster_4,ESMAtlas,1,2,,
MGYP003144926011.domain0.pdb,4586.34130859375,4538.67578125,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003144952790.domain0.pdb,4284.1484375,4147.47216796875,1.0,#fdc877,cluster_17,ESMAtlas,1,2,,
MGYP003145020594.domain0.pdb,4263.74951171875,4674.74169921875,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145031227.domain0.pdb,4475.96875,4210.09228515625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003145127086.domain0.pdb,4292.69677734375,4932.03369140625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145199806.domain0.pdb,4753.5126953125,4025.361083984375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003145224993.domain0.pdb,3655.302001953125,4953.78271484375,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003145235208.domain0.pdb,4528.5693359375,4200.10400390625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003145438182.domain0.pdb,4276.09228515625,4158.4248046875,1.0,#fdc877,cluster_17,ESMAtlas,1,2,,
MGYP003145442139.domain0.pdb,4571.10302734375,4737.91943359375,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145475621.domain0.pdb,4225.37353515625,4812.365234375,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145507770.domain0.pdb,4272.67578125,4827.65576171875,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145510258.domain0.pdb,4611.99169921875,3413.867431640625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003145523446.domain0.pdb,3902.663818359375,4880.61865234375,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003145568083.domain0.pdb,4791.00537109375,3606.783447265625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003145581422.domain0.pdb,3664.896728515625,4857.03466796875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003145651307.domain0.pdb,4263.63232421875,4657.69384765625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003145703153.domain0.pdb,3871.49267578125,4765.73046875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003145706936.domain1.pdb,3463.614013671875,3229.990234375,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003145706936.domain2.pdb,3632.3330078125,4480.8427734375,1.0,#f67e4b,cluster_11,ESMAtlas,1,2,,
MGYP003145753634.domain0.pdb,3911.718994140625,3529.257568359375,1.0,#a80c44,cluster_1,ESMAtlas,1,2,,
MGYP003145871743.domain0.pdb,4407.1708984375,4582.376953125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146007171.domain0.pdb,3724.739501953125,4408.82470703125,1.0,#f67e4b,cluster_11,ESMAtlas,1,2,,
MGYP003146032035.domain0.pdb,4737.16357421875,4045.75390625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146074468.domain0.pdb,4531.1494140625,3407.044677734375,1.0,#9e0142,cluster_0,ESMAtlas,3,2,,
MGYP003146139485.domain0.pdb,4574.82470703125,4837.72119140625,1.0,#fca75e,cluster_14,ESMAtlas,5,2,,
MGYP003146162364.domain0.pdb,4510.12109375,3947.616455078125,1.0,#9e0142,cluster_0,ESMAtlas,3,2,,
MGYP003146310428.domain0.pdb,5066.04052734375,3844.52099609375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146315108.domain0.pdb,3714.927490234375,3593.966064453125,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003146360319.domain0.pdb,4475.20654296875,3949.067626953125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146432892.domain3.pdb,3681.05859375,4471.85986328125,1.0,#f67e4b,cluster_11,ESMAtlas,2,2,,
MGYP003146438105.domain0.pdb,4557.61474609375,4244.2822265625,1.0,#9e0142,cluster_0,ESMAtlas,2,2,,
MGYP003146510342.domain0.pdb,4222.91650390625,4796.17822265625,1.0,#fca75e,cluster_14,ESMAtlas,2,2,,
MGYP003146545015.domain0.pdb,3724.260498046875,3717.988037109375,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003146605780.domain0.pdb,3693.655029296875,4927.7158203125,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003146723025.domain0.pdb,4753.85986328125,4123.20556640625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146768915.domain0.pdb,4436.70556640625,3878.808349609375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146796319.domain0.pdb,4903.8740234375,4182.06298828125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003146796382.domain0.pdb,3578.042236328125,3196.937744140625,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003146809843.domain0.pdb,3724.755859375,4792.3828125,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003146927822.domain0.pdb,3651.829833984375,4429.59912109375,1.0,#f67e4b,cluster_11,ESMAtlas,1,2,,
MGYP003146947042.domain0.pdb,4462.1328125,3971.981201171875,1.0,#9e0142,cluster_0,ESMAtlas,2,2,,
MGYP003146978522.domain0.pdb,4542.05615234375,3601.021484375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003147010516.domain0.pdb,4347.43896484375,4805.34228515625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003147212016.domain0.pdb,4707.587890625,3642.57080078125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003147246138.domain0.pdb,4521.27392578125,4730.22705078125,1.0,#fca75e,cluster_14,ESMAtlas,2,2,,
MGYP003147249016.domain2.pdb,5168.00048828125,4357.61669921875,1.0,#4470b1,cluster_45,ESMAtlas,1,2,,
MGYP003147249016.domain3.pdb,3735.20458984375,4460.39111328125,1.0,#f67e4b,cluster_11,ESMAtlas,1,2,,
MGYP003147390758.domain0.pdb,3668.63330078125,4878.5419921875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003147514679.domain0.pdb,4424.98095703125,3878.4296875,1.0,#9e0142,cluster_0,ESMAtlas,2,2,,
MGYP003147570094.domain0.pdb,4106.46142578125,3480.25537109375,1.0,#a80c44,cluster_1,ESMAtlas,1,2,,
MGYP003147577671.domain0.pdb,5154.912109375,4390.73095703125,1.0,#4470b1,cluster_45,ESMAtlas,1,2,,
MGYP003147577671.domain1.pdb,3684.47705078125,4401.05859375,1.0,#f67e4b,cluster_11,ESMAtlas,1,2,,
MGYP003147639458.domain0.pdb,4506.109375,4801.50390625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003147742960.domain0.pdb,3825.074951171875,4739.11962890625,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003147745987.domain0.pdb,4482.07373046875,4137.3447265625,1.0,#feec9f,cluster_21,ESMAtlas,1,2,,
MGYP003147770995.domain0.pdb,4368.34912109375,4642.8037109375,1.0,#9e0142,cluster_0,ESMAtlas,2,2,,
MGYP003147787721.domain0.pdb,3616.08642578125,3126.10107421875,1.0,#9e0142,cluster_0,ESMAtlas,5,2,,
MGYP003147793667.domain0.pdb,3692.31005859375,4851.68212890625,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003147876478.domain0.pdb,3648.0537109375,4900.2841796875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003147939195.domain0.pdb,3858.146728515625,4822.470703125,1.0,#808080,Unclustered,ESMAtlas,2,2,,
MGYP003147948281.domain0.pdb,4766.7978515625,4946.78759765625,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003148005689.domain0.pdb,4257.60302734375,4941.24609375,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148009258.domain0.pdb,3695.5556640625,4819.20166015625,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003148134541.domain0.pdb,4465.0517578125,4753.943359375,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148199626.domain0.pdb,3730.930908203125,4771.1103515625,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003148203685.domain0.pdb,3776.24951171875,4896.00341796875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003148346176.domain0.pdb,4986.5869140625,3983.642333984375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003148406805.domain0.pdb,4487.3369140625,4811.31591796875,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148421891.domain0.pdb,4747.294921875,4377.1748046875,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003148426899.domain0.pdb,4004.508544921875,4806.005859375,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003148464337.domain0.pdb,4930.087890625,4192.837890625,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003148503272.domain0.pdb,4217.103515625,4773.75341796875,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148531045.domain0.pdb,4384.35595703125,4318.169921875,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003148564016.domain0.pdb,4262.27734375,4890.32275390625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148635781.domain0.pdb,4528.20166015625,3870.841796875,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003148651210.domain0.pdb,3775.66357421875,4740.7880859375,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003148669667.domain1.pdb,3658.69384765625,3149.26220703125,1.0,#808080,Unclustered,ESMAtlas,5,2,,
MGYP003148769931.domain0.pdb,4043.8466796875,3595.79150390625,1.0,#a80c44,cluster_1,ESMAtlas,1,2,,
MGYP003148778015.domain0.pdb,3690.105224609375,4319.017578125,1.0,#f47245,cluster_10,ESMAtlas,1,2,,
MGYP003148829638.domain0.pdb,4243.48681640625,4793.6416015625,1.0,#fca75e,cluster_14,ESMAtlas,1,2,,
MGYP003148872991.domain0.pdb,4148.42138671875,3414.599853515625,1.0,#a80c44,cluster_1,ESMAtlas,1,2,,
MGYP003148912699.domain0.pdb,4925.2763671875,3826.58935546875,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003148944378.domain0.pdb,4419.451171875,3872.019287109375,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003148944378.domain1.pdb,4446.03515625,3798.9794921875,1.0,#808080,Unclustered,ESMAtlas,1,2,,
MGYP003149004196.domain0.pdb,3690.570556640625,4797.98779296875,1.0,#f88e52,cluster_12,ESMAtlas,1,2,,
MGYP003149007215.domain0.pdb,4466.646484375,3919.214111328125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003149027576.domain0.pdb,4519.6708984375,4129.27392578125,1.0,#9e0142,cluster_0,ESMAtlas,1,2,,
MGYP003149040146.domain0.pdb,4277.44287109375,4668.33203125,1.0,#fca75e,cluster_14,ESMAtlas,2,2,,
